ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,7_What_type_of_mill_,9_How_many_times_did,10_How_many_litres_o,11_How_much_did_you_,13_Have_you_paid_you,14_How_much_was_the_,16_Did_you_make_any_,17_What_type_of_repa,18_How_much_did_you_,19_How_much_did_you_,21_Did_you_have_any_,22_If_yes_what_was_t,23_How_much_did_you_
c7e25248-dd81-42c2-89e6-eaf0cc6b03fa,64247dd3-7ab4-4ec7-b880-a9728c1488f6,2022-06-08T08:43:12.333Z,2022-06-08T22:21:20.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
a14aab39-fae5-4438-8be1-b149c6e42a65,db51247e-669f-46e5-8c93-e416094bdeba,2022-06-07T11:04:10.006Z,2022-06-07T19:45:02.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,900
6a9b51ee-9cc0-4d06-a0d3-2f297f76c452,9dea9354-c27e-40dd-a74a-f4d679b95de8,2022-06-07T11:03:01.474Z,2022-06-07T19:42:45.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,900
94240bb1-7f38-4761-84c0-86037b5bbef5,6e349d8b-c667-4504-8519-af9551ce9a88,2022-06-06T09:01:36.685Z,2022-06-06T14:45:01.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,90,38,No,0,No,,0,0,No,,0
fdc33201-72fe-41ad-ae09-5a1476709045,85b38a08-366e-488f-aa29-26ba2b0e203d,2022-06-03T13:28:11.240Z,2022-06-04T00:57:55.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,28,40,No,0,No,,0,0,No,,0
e230900f-43ff-4bfd-ab10-10f1047b26ad,16047702-54a2-46ef-a1b7-adba3f6a0f26,2022-06-03T08:52:03.138Z,2022-06-04T03:37:19.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,50,38,No,0,No,,0,0,Yes,Worker salary,500
2b5c29a1-0f48-470d-8110-5c5ab141b32a,dd04bb8a-49e8-4419-b91b-b3353a62ae2b,2022-06-03T07:34:21.732Z,2022-06-03T18:43:06.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,Yes,1590,Yes,dngay teweqrual,0,0,No,,0
f833eab5-961d-40e5-9d8a-add787538d09,b5331036-3cd0-4e9d-bb18-e8191fad18c1,2022-06-02T08:42:04.866Z,2022-06-02T17:25:46.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,65,44,No,0,No,,0,0,No,,0
4e9e340a-5c32-43f9-bac0-b3daed40028c,c3941bf2-e298-4dbc-9da6-d6ebb7866acf,2022-06-01T09:02:26.518Z,2022-06-01T14:40:16.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,20,40,No,0,No,,0,0,No,,0
5b25ab73-7d3f-480e-a42f-6577f5cec662,3c283f4d-6b81-448f-8a57-6c4cdc33d8a1,2022-06-01T08:32:32.962Z,2022-06-02T04:12:29.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
533ea370-fc50-47c7-80c6-6462f5aaa177,c37100ca-e20a-41b1-81f7-ef94ca673633,2022-06-01T07:18:49.221Z,2022-06-01T19:49:22.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,360
5af1b055-ce68-48ac-955b-d956854a2205,49dff912-41fc-406b-8bf0-b6049e49510c,2022-06-01T07:16:11.760Z,2022-06-01T19:47:34.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,,Yes,le serategna,360
173bf2a5-4b7a-4528-91fa-e798e964e5f2,10d35de8-afde-44cd-a1ba-9a9cb21ed816,2022-05-31T12:26:38.091Z,2022-06-01T07:32:23.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,28,45,No,0,No,,0,0,No,,0
3e5a3f87-95be-47be-b626-c614190df85a,f6752c82-da88-4a33-8203-cbc9378cc9ab,2022-05-30T07:25:51.517Z,2022-05-30T20:26:45.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,360
ca4faf3a-532d-4412-94f4-5c44e77f66c6,bddbd4c8-8e6f-4c3b-b096-af5c2120bf3a,2022-05-30T07:23:43.250Z,2022-05-30T20:24:30.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,Yes,1540,Yes,dngay teweqrual,0,0,Yes,le serategna,360
89fb3a28-2e2f-4b73-b14f-8fc8a896213b,40c8e912-5b37-49c7-a526-45d2b6d660dd,2022-05-29T08:25:16.585Z,2022-05-29T17:25:39.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
f882d1e3-6f1c-44bb-b57c-cfce727e7fe5,f75b81c9-2e75-4033-9e74-bfc72f59f2b0,2022-05-28T12:32:32.785Z,2022-05-28T23:14:46.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,56,45,Yes,300,No,,0,0,Yes,Sallary,1500
61fb9d9c-ff81-4bb1-b336-69fabea311e1,1c80c11c-6e60-4655-a7bb-91fa101c138f,2022-05-28T08:12:11.137Z,2022-05-28T20:17:47.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,4,80,40,No,0,Yes,"Qoati, tubo",0,8500,Yes,Transportation,200
0b483393-04dc-418a-9f46-ed120736a70e,230c0d13-7d67-436f-92d1-b0f7215a8d32,2022-05-27T10:16:18.911Z,2022-05-28T00:03:35.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,30,40,No,0,No,,0,0,No,,0
915f74be-9a6b-4555-bea4-03da94a05f63,04fdb9fb-d8d0-4a91-a115-8e584376c330,2022-05-27T07:26:30.930Z,2022-05-27T19:50:59.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,360
f6cbe08c-e9b4-490e-a603-8d86f9f29041,3a46cdb3-da27-451f-9514-4fb1de59d621,2022-05-27T07:25:15.320Z,2022-05-27T19:50:52.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,360
c15220a6-c709-4158-a708-aabd26d3a5b1,23160534-030a-49a5-a4c7-0c73d36b62c9,2022-05-26T10:04:58.888Z,2022-05-26T19:02:30.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,60,40,No,0,No,,0,0,Yes,Worker salary,500
56e53aa6-c03a-4f8f-a414-88540e46bc29,9c700fd8-b1c2-4ca7-bf36-e3be72ff5788,2022-05-26T09:47:20.609Z,2022-05-27T05:05:11.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
e863e84c-509d-4a60-8edf-62589a93b6ea,f708341c-dbad-4ae9-991d-a2a134403ced,2022-05-25T07:38:24.065Z,2022-05-25T18:29:27.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,900
e2923424-3a98-48cd-8895-71f33fa03ce8,5a46f97a-1dc2-4002-8cf3-a286430a8cac,2022-05-25T07:36:56.092Z,2022-05-25T18:27:29.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,900
0f9efc12-5762-4c47-9664-b49b5471837e,4a2ef1f1-154a-43ad-9277-082749501f89,2022-05-20T12:26:00.364Z,2022-05-20T14:34:17.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,2,45,No,0,No,,0,0,No,,0
3cffafc3-6593-4a30-aba2-5704730e2bee,f2f42f69-2c22-4396-a5f7-c7ebbe49337f,2022-05-19T09:14:23.615Z,2022-05-19T15:36:07.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,40,38,No,0,Yes,"Qoati,tubo",500,6550,Yes,"Worker salary, transportation",700
5494b521-da0a-42e2-9478-57b2fb1cc3e7,95c3cad2-cf34-4c6c-8752-b95c4ab3e9d1,2022-05-19T08:33:49.078Z,2022-05-20T04:43:46.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,30,45,No,0,No,,0,0,No,,0
b25316fd-d4b4-4123-9b8b-bb7db63d3f08,b5a88fad-79d8-417b-8400-2b79d271fc71,2022-05-19T07:18:39.707Z,2022-05-19T19:59:00.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,kushneta,0,350,Yes,le serategna,360
f619840d-d135-492c-b1d5-04c66c67de2a,bdf9b5f9-4714-4887-8c1d-302c0107b235,2022-05-19T07:17:43.197Z,2022-05-19T19:56:45.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,kushneta,0,350,Yes,le serategna,360
21ad3679-990c-4a06-bb5b-99a7a574a00a,9cbb1053-1769-4992-b2dc-e2503fa6b629,2022-05-18T11:24:54.382Z,2022-05-19T00:06:39.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,30,40,No,0,Yes,Bell bearing,300,2000,No,,0
b804c718-3e86-448b-9c73-ddc900f87579,a0b2f06c-182b-46cf-ae9d-2025246f8b9f,2022-05-18T08:17:58.133Z,2022-05-18T17:52:47.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
9e69ae64-13eb-44fb-8184-2064e0a2b985,8f7654ec-7d25-4184-86d3-bddb4535b35b,2022-05-18T07:38:40.192Z,2022-05-18T19:55:54.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
26cb8fe3-0cba-4bb7-9b2f-4cc68c4102b8,ac6d1bb3-59a9-4ddc-b7cc-ae36c83b3df4,2022-05-17T11:23:29.012Z,2022-05-17T18:50:28.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,20,38,No,0,No,,0,0,No,,0
da490818-0fc0-4a03-a7fe-eaf2baf51fc2,ed61aa3a-6dc6-4989-ae9a-f06c940fa908,2022-05-17T07:43:18.509Z,2022-05-17T19:35:18.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,540
6eb03722-0bb6-4f96-9c53-2a9151406da4,93fa4be4-38d0-4134-be4c-77c3e43acf71,2022-05-17T07:40:44.190Z,2022-05-17T19:34:13.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,"kushneta,dngay teweqrual",0,350,Yes,le serategna,540
18b7af1d-9d6e-4391-96f8-b3ff68f1d45c,a3ea6785-ad25-4fdc-8066-eb39816e36ab,2022-05-13T09:04:30.033Z,2022-05-14T03:22:40.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
28dd45b4-ce43-4d8c-aa15-005d669bf26e,33c5c63a-fede-42d5-9050-b63e33f10f2e,2022-05-13T07:17:07.230Z,2022-05-13T18:05:39.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,kushneta,0,350,Yes,le serategna,720
0af5d032-7660-4785-8392-71bf0b973336,4642cf34-8acb-4d44-bd21-f3976f354bba,2022-05-13T07:15:46.203Z,2022-05-13T18:04:28.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,720
ec38f742-c03e-46da-956b-e740dc5e972a,3ffaf2f8-6631-4022-bf4d-57a28898dac2,2022-05-12T09:13:34.122Z,2022-05-12T20:33:45.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,90,45,No,0,No,,0,0,Yes,Worker salary,500
a088d64a-0d6c-49e0-95e2-1a370cddb4e3,08662a29-3807-4fd9-a66e-86f31c96c1c7,2022-05-12T07:28:50.180Z,2022-05-12T18:25:42.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
41604455-def8-4412-b81c-e44140849c27,1344f8c1-8b45-48ee-ac18-1bf53e840a07,2022-05-09T08:08:14.763Z,2022-05-09T18:00:52.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,60,45,No,0,No,,0,0,No,,0
58fdf009-2e82-4867-8f46-f23bb788f254,dd35324f-c358-4964-9f8a-a84711b728ca,2022-05-09T07:36:18.377Z,2022-05-10T08:15:03.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,540
1b8cad42-2209-4e36-bbc5-c3dbbfe68e2d,b2244d12-9e8b-49ac-82f5-60985b94f64a,2022-05-09T07:35:00.576Z,2022-05-10T08:17:07.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,540
b2a188e0-5511-4517-a376-362e320a0806,c8826f79-a03f-45a2-ac51-adae36d1cae8,2022-05-06T10:41:15.005Z,2022-05-06T22:51:22.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,40,30,Yes,3000,Yes,Small chinga,2000,3000,Yes,Sallary,1500
1ad13060-da41-4a28-8742-0090ee2c6b32,9703b45e-5d70-4cf5-95f4-ac15a46998b2,2022-05-06T08:49:47.943Z,2022-05-06T15:26:26.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,4,80,40,No,0,No,,0,0,Yes,Worker salary,500
f47d55a7-ce12-4cd7-99cd-661cbd1b49d6,0caa6f13-b0f7-49c8-a684-1f63b4578579,2022-05-06T07:52:23.540Z,2022-05-07T15:36:40.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
0d3a56d4-9241-4939-a3cb-7e11c96f56f6,02e48aa9-bd3c-4954-a8f6-c04663a2e475,2022-05-06T07:32:08.970Z,2022-05-06T21:04:33.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,Yes,1500,Yes,dngay teweqrual,0,0,No,,0
441f7e89-6ca4-4680-94c7-e3c0b2a7cc29,008ca477-81ca-4ec2-b8b7-583b50aa12f3,2022-05-05T07:40:39.658Z,2022-05-06T07:30:13.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,360
fdb65851-1a8f-41ab-ac9d-e3fd781278c3,43b4ed56-d4fb-45f9-8dae-9d928aed03fd,2022-05-05T07:39:23.845Z,2022-05-06T07:29:32.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,Yes,55,No,,0,0,Yes,le serategna,360
db78f90b-8327-49c1-9ccc-33aafe55866c,aca926d9-e9bc-4800-a69c-d976912d25c3,2022-05-04T13:10:53.365Z,2022-05-04T19:51:58.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,28,40,Yes,200,No,0,0,0,Yes,Sallary,1500
8ba25735-5972-4d8b-bd29-618c6e705e2a,c9e03512-dd32-4462-941c-2cbc1efb29f5,2022-05-04T09:10:37.951Z,2022-05-05T11:18:27.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,50,45,No,0,No,,0,0,No,,0
222201af-c400-4309-93a1-cb0d1dc81950,e349445f-23cd-437a-afa4-4218e4b49532,2022-05-03T07:27:38.588Z,2022-05-03T23:45:32.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,540
85a938b1-607d-41b3-8f13-a2bdc3177074,8a3cd184-9cab-41d8-a499-3c81dc936508,2022-05-03T07:26:35.935Z,2022-05-03T23:44:44.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,adiss dngay tegexmual,0,19000,Yes,le serategna,540
21236f5f-7fa2-475d-b31f-c2c479926c0b,16534f6c-1bd9-4f17-9ee9-f47295e7425a,2022-05-02T07:51:27.378Z,2022-05-03T01:47:16.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,"kushneta,dngay teweqrual",0,350,No,,0
9cc37054-d3da-46d8-a4b7-f1fc136bb34b,aea591f6-b125-4e37-bf48-94102b258244,2022-04-29T08:34:11.524Z,2022-04-29T18:02:19.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,50,50,No,0,Yes,"Shemasi,qoati, Chinga",0,27000,No,,0
789142a5-092a-4367-ac6e-193c81639080,40f291a5-61a1-4dc1-9c5d-e800b6709544,2022-04-29T07:31:02.734Z,2022-04-29T20:43:29.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,360
09b33350-4307-417c-872d-993247da4195,944e5d77-e2be-455e-a90b-48750b419a8a,2022-04-29T07:29:55.358Z,2022-04-29T20:42:27.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,marsh teqeyrual,0,250,Yes,le serategna,360
4a369210-a601-4b0c-bae5-4e2b9faafa06,b31e282f-db59-4fdc-a3af-6de3de7b92c8,2022-04-27T08:17:14.952Z,2022-04-27T17:40:02.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,2,80,55,No,0,No,,0,0,Yes,Worker salary,700
eb7c0e05-a0fc-4496-961c-f8bb8c12b81f,0e4c5082-2370-4592-a975-4fc5b3225aa6,2022-04-27T07:36:44.044Z,2022-04-27T21:06:50.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,540
b14a0b10-3068-427b-9e96-020a9a025d2a,693a2023-321b-4b9f-a7f8-d4c6189e5615,2022-04-27T07:35:07.933Z,2022-04-27T21:06:09.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,540
4459a684-e06e-4d75-8afd-747eea627799,93279d95-967b-4be0-be05-567eeb3704a1,2022-04-21T09:02:15.179Z,2022-04-21T22:29:13.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,1,250,40,No,0,No,,0,0,No,,0
2338c094-3736-473f-8921-bf3a85524495,a9b40a6e-6a98-43bb-bdd7-58fdf27eee78,2022-04-21T07:10:08.711Z,2022-04-22T03:24:35.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,180
c615cd6a-2a06-4b98-9b95-1a1d07ef3159,9ace4114-33e0-4eb6-b29d-0b19ca9ce19a,2022-04-21T07:09:08.895Z,2022-04-22T03:28:23.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,Yes,le serategna,180
ceb60bb4-3c22-48e6-8838-ff20784c8d63,c09e03d1-fa0b-42c6-b7d7-cdecf6f6bb86,2022-04-20T08:52:42.397Z,2022-04-20T18:31:49.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,3,90,55,No,0,No,,0,0,Yes,Transportation,200
f1cf6ec3-8067-410d-a08e-321f455e818b,cb81b789-5a6a-4208-8f85-e1b39722f746,2022-04-20T07:05:48.450Z,2022-04-20T19:25:53.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,900
f8947f10-c5fc-4dfd-9011-2a3244dc8911,33320676-fec7-4dae-9209-e3a01d45eee7,2022-04-20T07:04:42.990Z,2022-04-20T19:19:01.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,Yes,50,Yes,dngay teweqrual,0,0,Yes,le serategna,900
ddc2e7ca-8515-4359-ac4a-b6a4bfc12ee1,e9f11258-534b-47a3-9c58-0f1cfffbee4b,2022-04-19T07:28:08.041Z,2022-04-20T03:29:33.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,No,,0,0,No,,0
e22233a1-13e5-4c69-b02f-a1e5b71bb551,db398200-c2be-47e9-b28d-ca4ba4562d9c,2022-04-19T07:23:28.423Z,2022-04-20T02:27:56.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,No,,0
28c7e17f-e2eb-4f20-8376-ea69aa0f2ed3,c05b750b-291d-4b74-8aa0-46a7a9fbd723,2022-04-16T08:31:17.006Z,2022-04-16T18:09:03.000Z,ikeapilot@gmail.com,Diesel Mill,Diesel Mill,6,120,55,No,0,No,,0,0,Yes,Worker salary,900
e94bfb19-f4ef-43e0-8241-dfbe88d48ecb,6a089987-23d1-4c1f-8515-9dbe9420040e,2022-04-15T07:57:44.625Z,2022-04-15T18:35:40.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,Ball bearing,300,900,No,,0
711bf035-9ca1-4fdf-aa69-4137ab57eb59,824780b5-f297-43a3-b1be-cbc89744ce51,2022-04-14T07:52:02.093Z,2022-04-14T22:04:24.000Z,ikeapilot@gmail.com,Electric Mill,Electric Mill,,,,No,0,Yes,dngay teweqrual,0,0,Yes,le serategna,360
